User_ID,Login_Frequency,Access_Frequency,Data_Transfer_Volume,Time_Deviation
1,40,6,92498.97,7.33410543720927
2,40,6,88956.26,6.781573828378158
3,40,6,88519.45,6.923344011941938
4,40,6,98562.04,7.103583422181895
5,40,6,96647.81,6.615395796054953
6,40,6,89221.56,7.344106306140826
7,40,6,91193.06,7.469210303914502
8,40,6,107095.9,7.820256406052825
9,40,6,98262.73,7.625866911626911
10,40,6,100757.07,7.161820066621799
11,40,6,99264.41,6.629334576190654
12,40,6,89382.69,6.166441437328339
13,40,6,86133.42,6.663909686339718
14,40,6,107737.26999999999,6.857103746835962
15,40,6,93297.47,7.337600739709446
16,40,6,112805.22,7.047048845857209
17,40,6,79336.29,7.020071955216005
18,40,6,92699.31,7.860930655414203
19,40,6,102390.65,6.392303063962037
20,40,6,86325.70999999999,6.717323566528256
21,40,6,104197.4,6.978171092404641
22,40,6,104196.66,7.214657445179366
23,40,6,106836.76,7.079040931709641
24,40,6,102787.86,6.84325421163997
25,40,6,97789.05,7.80035337792544
26,40,6,92218.01000000001,7.264905102879607
27,40,5,111499.64,8.106304921922163
28,40,6,103403.81,7.556581441162602
29,40,6,109892.51,6.256842408361979
30,40,6,78867.01,8.04729608992824
31,40,6,118605.66,6.887186169498639
32,40,6,84934.82,6.872278015927843
33,40,6,111936.12,7.1403063210883575
34,40,6,102807.92,6.8731640905324385
35,40,6,104052.76,7.11372815091554
36,40,6,101638.24,6.651778246916672
37,40,6,109740.0,6.4607294975897
38,40,6,115096.77,6.989185785820687
39,40,6,114347.37,7.4866976047948555
40,40,6,87412.92,7.221761984020669
41,40,6,106481.83,6.433037724044088
42,40,6,87111.38,6.843301047796249
43,40,6,102044.76,7.451552927118012
44,40,6,103800.37,6.755387213939436
45,40,6,103725.09,6.481531949335467
46,40,6,89918.51,6.943729877766315
47,40,6,89689.77,7.403697967215004
48,40,6,108456.2,7.185276969484554
49,40,6,119411.63,6.13522824685648
50,40,6,96154.36,6.648500891371234
